Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate
Bosnia and Herzegovina,2020,3832751,-0.2,74.9,1.34,77.5,6.2
Botswana,2020,2316910,1.46,4.1,2.45,64.8,34.5
Brazil,2020,214752313,0.53,25.7,1.6,74.4,19
Brunei,2020,464145,1.5,88.2,1.75,77.9,12.7
Bulgaria,2020,6965462,-0.67,64.2,1.49,75,9.8
Burkina Faso,2020,20833136,2.63,76.1,4.51,62.7,86.7
Burma,2020,55911155,0.76,85.6,2.07,68.8,44.7
Burundi,2020,11845890,2.87,461.3,5.17,66.7,57.6
Cabo Verde,2020,582153,1.26,144.3,2.16,73.2,30.2
Cambodia,2020,16337185,1.2,92.6,2.32,70.3,40.7
Cameroon,2020,27743599,2.78,58.7,4.66,62.3,77.9
Canada,2020,37649603,0.79,4.1,1.56,83.4,5.2
Cayman Islands,2020,61952,1.91,234.7,1.83,81.6,9.3
Central African Republic,2020,5262642,1.8,8.4,4.14,54.6,128.7
Chad,2020,16875954,3.16,13.4,5.68,58.3,114.5
Chile,2020,18182486,0.7,24.4,1.77,79.3,7.9
China,2020,1404031889,0.14,150.5,1.25,77.7,7.9
Colombia,2020,48419737,0.75,46.6,1.95,76.8,13.7
Comoros,2020,852094,1.44,381.3,2.95,66.6,81.8
Congo (Brazzaville),2020,5521845,2.53,16.2,4.06,71.1,48.3
Congo (Kinshasa),2020,101768560,3.18,44.9,5.77,61,86.3
Cook Islands,2020,8539,-2.55,36.2,2.12,76.6,20.1
Costa Rica,2020,5122939,0.75,100.3,1.44,79.2,8.8
Croatia,2020,4229585,-0.49,75.6,1.43,76.7,11
Cuba,2020,11058573,-0.25,100.7,1.71,79.2,5.4
Curaçao,2020,151370,0.35,340.9,2,79,9.3
Cyprus,2020,1267376,1.17,137.1,1.48,79.3,10
Czechia,2020,10778812,0.14,139.5,1.69,78.8,3
Côte d'Ivoire,2020,27470185,2.24,86.4,3.67,61.3,81.3
Denmark,2020,5868927,0.44,138.3,1.78,81.2,3.7
Djibouti,2020,919627,2.04,39.7,2.19,64.7,65.6
Dominica,2020,74522,0.09,99.2,2.02,77.7,13.7
Dominican Republic,2020,10516103,0.65,217.6,2.09,69.6,30
Ecuador,2020,17550613,1.3,70.7,2.35,75.3,13.9
Egypt,2020,103994537,1.89,104.5,3.11,73.9,21.9
El Salvador,2020,6480810,0.78,312.8,2.09,74.8,14.6
Equatorial Guinea,2020,1561062,3.81,55.7,4.41,63.5,107.8
Eritrea,2020,6088682,0.94,60.3,3.73,66.2,62.5
Estonia,2020,1228296,-0.66,29,1.61,77.4,4.2
Eswatini,2020,1104638,0.79,64.2,2.52,58.6,54.9
Ethiopia,2020,107882961,2.43,98.4,4.14,64.7,57.7
Faroe Islands,2020,51624,0.61,37.1,2.31,80.8,7.8
Fiji,2020,935139,0.48,51.2,2.31,73.7,17.7
Finland,2020,5572355,0.28,18.3,1.74,81.3,2.6
France,2020,67791837,0.23,105.9,1.91,82.2,4.3
French Polynesia,2020,294891,0.78,77.1,1.83,77.9,13
Gabon,2020,2230332,2.42,8.7,3.41,69,44.9
"Gambia, The",2020,2302355,2.42,227.5,4.06,66.8,61.7
Gaza Strip,2020,1972024,2.08,"5,477.80",3.6,72.7,22.7
Georgia,2020,4997628,0.33,71.7,1.97,73.3,23
Germany,2020,84498245,-0.1,242.3,1.57,81.1,4
Ghana,2020,31643281,2.3,139.1,3.76,68.7,47.3
Gibraltar,2020,29459,0.19,"4,208.40",1.92,80,7.6
Greece,2020,10604841,-0.33,81.2,1.38,81.1,4.3
Greenland,2020,57797,0.01,0,1.94,73.4,11.4
Grenada,2020,113165,0.37,329,1.96,75.2,13.6
Guam,2020,168489,0.19,309.7,2.84,77,13.4
Guatemala,2020,17140193,1.66,160,2.72,72.4,35.6
Guernsey,2020,67173,0.24,861.2,1.57,82.8,4
Guinea,2020,12527271,2.76,51,4.92,63.2,78.7
Guinea-Bissau,2020,1927022,2.52,68.5,4.75,62.8,77.5
Guyana,2020,786653,0.14,4,2.08,71.3,27.7
Haiti,2020,11172853,1.29,405.4,2.64,64.4,58.5
Honduras,2020,9100261,1.04,81.3,2.48,71.9,17.7
Hong Kong,2020,7248206,0.22,"6,755.10",1.21,83.2,3.6
Hungary,2020,10026575,-0.45,111.9,1.56,75.4,5.7
Iceland,2020,350773,1,3.5,1.97,83.3,2.6
India,2020,1369541070,1.01,460.6,2.13,70.5,34.4
Indonesia,2020,272856400,0.84,150.6,2.07,72.6,24.6
Iran,2020,84982541,1.09,55.5,1.94,74.9,17.8
Iraq,2020,38828885,2.13,88.8,3.39,72.6,24.6
Ireland,2020,5030214,0.86,73,1.65,82.8,3.1
Isle of Man,2020,90381,0.58,158,1.9,81.6,5.2
Israel,2020,8829355,1.51,410.7,2.9,82.4,3.8
Italy,2020,61337765,-0.26,208.5,1.19,81.6,4.1
Jamaica,2020,2815048,0.05,259.9,2.07,75.2,13.6
Japan,2020,125135727,-0.35,343.3,1.37,84.5,2.6
Jersey,2020,100782,0.7,868.8,1.65,82.2,4.7
Jordan,2020,10819966,0.83,121.8,3.04,75.5,16.9
Kazakhstan,2020,19513854,0.99,7.2,2.61,72.3,10.4
Kenya,2020,53513653,2.18,94,3.43,69,41
Kiribati,2020,111814,1.06,137.9,2.25,67.3,44.6
"Korea, North",2020,25829413,0.54,214.5,1.85,73.4,20.1
"Korea, South",2020,51577174,0.28,532.2,1.08,82.6,3.6
Kosovo,2020,1931888,0.56,177.4,1.95,71.1,34.5
Kuwait,2020,2995271,1.24,168.1,2.26,78.7,9.5
Kyrgyzstan,2020,5963777,0.94,31.1,2.54,71.8,30.3
Laos,2020,7539569,1.42,32.7,2.46,67.7,49
Latvia,2020,1883186,-1.09,30.3,1.53,75.4,6.3
Lebanon,2020,5463514,-8.06,534.1,1.71,78.3,8.1
Lesotho,2020,2162195,0.7,71.2,2.98,58.2,69.2
Liberia,2020,4933811,2.74,51.2,4.31,61.6,77.9
Libya,2020,6890637,1.88,3.9,3.17,76.7,13.6
Liechtenstein,2020,39137,0.74,244.6,1.69,82.2,5
Lithuania,2020,2739816,-1.04,43.7,1.6,75.4,4.4
Luxembourg,2020,628615,1.76,243.1,1.62,82.6,3.8
Macau,2020,625295,0.83,"22,332.00",1.2,84.6,5.5
Madagascar,2020,26898646,2.36,46.3,3.78,67.6,58.3
Malawi,2020,19822929,2.45,210.7,3.62,71.9,58.4
Malaysia,2020,33164013,1.08,100.9,1.78,75.6,8.3
Maldives,2020,391104,-0.1,"1,312.40",1.71,76.4,35.1
Mali,2020,19552681,2.93,16,5.72,61.6,101.2
Malta,2020,457270,0.83,"1,447.10",1.49,82.8,6
Marshall Islands,2020,77741,1.41,429.5,2.86,74.1,27.7
Mauritania,2020,3997059,2.05,3.9,3.65,64.5,81.6
Mauritius,2020,1305308,0.12,643,1.34,74.3,14.9
Mexico,2020,128092570,0.35,65.9,1.56,71,13.4
"Micronesia, Federated States of",2020,102320,-0.62,145.8,2.29,73.9,28.1
Moldova,2020,3587186,-0.76,109.1,1.22,69.8,16.2
Monaco,2020,31066,0.47,"15,533.00",1.52,89.3,2
Mongolia,2020,3168648,0.98,2,1.95,70.8,25.3
Montenegro,2020,609786,-0.38,45.3,1.82,77.3,3.7
Montserrat,2020,5359,0.52,52.5,1.3,75.3,12.5
Morocco,2020,36055311,0.97,50.3,2.33,73.1,24.1
Mozambique,2020,30097734,2.6,38.3,4.97,55.9,99.8
Namibia,2020,2627111,1.61,3.2,3.07,60.7,47.1
Nauru,2020,9728,0.43,463.2,2.68,67.3,10.8
Nepal,2020,30175326,0.84,210.5,1.96,71.8,32.6
Netherlands,2020,17400890,0.39,513.4,1.54,81.2,4.4
New Caledonia,2020,290033,1.24,15.9,1.88,78.4,9.4
New Zealand,2020,4925334,1.39,18.6,1.87,82.1,4.3
Nicaragua,2020,6418878,0.96,53.5,1.91,72.5,18.3
Niger,2020,22759615,3.65,18,7,59.3,109.3
Nigeria,2020,213986428,2.53,235,4.72,60.4,91.6
North Macedonia,2020,2125463,0.13,83.6,1.5,76.3,8.7
Northern Mariana Islands,2020,51851,-0.38,109.9,2.69,76.1,15
Norway,2020,5381527,0.44,17.7,1.48,83.2,2.1
Oman,2020,3624823,1.93,11.7,2.76,76.4,20.1
Pakistan,2020,233431156,2.04,302.8,3.6,69.1,72.3
Palau,2020,21532,0.37,46.9,1.7,74.1,14.2
Panama,2020,4210487,1.32,56.6,2.43,77.4,21.9
Papua New Guinea,2020,9145715,2.43,20.2,4.05,68.8,43.7
Paraguay,2020,7188930,1.16,18.1,1.89,77.9,31.3
Peru,2020,31867270,1.01,24.9,2.26,69.8,13.7
Philippines,2020,110461801,2.54,370.5,3.46,70.8,28.3
Poland,2020,38375246,-0.31,126.1,1.39,76.3,5.8
Portugal,2020,10288283,-0.25,112.5,1.41,81.1,3.2
Puerto Rico,2020,3190410,-1.55,359.7,1.22,81.3,6.8
Qatar,2020,2447179,1.44,211.2,1.9,79.3,9.8
Romania,2020,18986068,-1.16,82.6,1.69,74.8,7.1
Russia,2020,143487955,-0.44,8.8,1.51,71.3,8.6
Rwanda,2020,12709485,1.85,515.2,3.52,65.1,37.1
Saint Barthelemy,2020,7131,-0.22,285.2,1.64,80.1,8.6
"Saint Helena, Ascension, and Tristan da Cunha",2020,7903,0.16,20.1,1.6,80,23.5
Saint Kitts and Nevis,2020,53799,0.66,206.1,1.77,76.6,15.8
Saint Lucia,2020,166141,0.3,274.2,1.73,78.5,13.8
Saint Martin,2020,32560,0.39,603,1.81,80.1,8.6
Saint Pierre and Miquelon,2020,5384,-1.17,22.2,1.58,81,9.8
Saint Vincent and the Grenadines,2020,101334,-0.19,260.5,1.76,76.2,19.3
Samoa,2020,203662,0.6,72.2,2.5,74.7,23.7
San Marino,2020,34247,0.65,561.4,1.51,83.5,7.4
Sao Tome and Principe,2020,210728,1.53,218.6,3.82,66.4,69.7
